,Depth ice/snow [m],δD H2O [‰ SMOW],δ18O H2O [‰ SMOW],Estimated Age [ka BP],Milan_ECC,Milan_OMEGA,Milan_OBL,Milan_PREC,Milan_90SJune,Milan_90SDec,delta-iso18o-Base at 6.6m,0.6*iso18o-Base at 6.6m,0.7*iso18o-Base at 6.6m,0.4*iso18o-Base at 6.6m,nearest_temp_age,Volume – km3,CO2,CH4
871,485.65,-440.5,-55.63,31.03399,0.01657436113,311.8407757,22.307617229999998,-0.012327157299999999,0.0,503.8468868,-5.454000000000001,-3.2724,-3.8178,-2.1816000000000004,,0.0,193.79701936616124,423.68686440677965
872,486.2,-442.9,-55.98,31.087439999999997,0.01655763128,311.00855920000004,22.31173288,-0.012448488799999994,0.0,503.8105408,-5.803999999999995,-3.482399999999997,-4.062799999999997,-2.321599999999998,,0.0,193.94536130440991,421.42203389830513
873,486.75,-441.4,-55.87,31.139525,0.016541328674999998,310.19759575,22.315743425,-0.012566721749999997,0.0,503.775123,-5.6939999999999955,-3.416399999999997,-3.9857999999999967,-2.2775999999999983,,0.0,194.0899149031692,419.2150423728813
874,487.3,-439.3,-55.83,31.19161,0.016525026069999997,309.3866323,22.31975397,-0.012684954700000002,0.0,503.7397052,-5.653999999999996,-3.3923999999999976,-3.957799999999997,-2.2615999999999987,,0.0,194.23446850192843,422.1803571428574
875,487.85,-443.4,-56.15,31.243695000000002,0.016508723465,308.57566884999994,22.323764515,-0.012803187650000006,0.0,503.7042874,-5.973999999999997,-3.584399999999998,-4.181799999999997,-2.389599999999999,,0.0,194.3790221006877,431.48125000000044
876,488.4,-438.2,-55.51,31.29434,0.01649287158,307.78712620000005,22.32766418,-0.012918151799999996,0.0,503.6698488,-5.333999999999996,-3.2003999999999975,-3.733799999999997,-2.1335999999999986,,0.0,194.51957920943613,440.5249999999995
877,488.95,-446.0,-56.57,31.344445,0.016477188714999997,307.00699135,22.331522265,-0.013031890150000001,0.0,503.6357774,-6.393999999999998,-3.836399999999999,-4.475799999999999,-2.5575999999999994,,0.0,194.65863763443053,448.82553191489353
878,489.5,-441.3,-55.9,31.394550000000002,0.01646150585,306.2268565,22.33538035,-0.013145628500000006,0.0,503.601706,-5.723999999999997,-3.434399999999998,-4.0067999999999975,-2.2895999999999987,,0.0,194.79769605942494,453.84230287859845
879,490.05,-435.8,-55.16,31.444635,0.016445829244999998,305.44703304999996,22.339236895,-0.013259321450000004,0.0,503.5676482,-4.983999999999995,-2.9903999999999966,-3.488799999999996,-1.993599999999998,,0.0,194.93669897761362,458.8570713391742
880,490.6,-447.9,-56.71,31.49452,0.016430215239999997,304.67032359999996,22.34307804,-0.013372560400000004,0.0,503.5337264,-6.533999999999999,-3.920399999999999,-4.5737999999999985,-2.6136,,0.0,195.07514682774524,463.8518147684608
